Catalogue Code,Reference Number,URL
cla,1548,https://computus.huma-num.fr/mss/KBR_10127_44_COD
cla,1158,https://computus.huma-num.fr/mss/DB_103_COD
cla,1585,https://computus.huma-num.fr/mss/Leiden_UB_VLQ_69_COD
cla,1586,https://computus.huma-num.fr/mss/Leiden_UB_VMI_11_COD
cla,928,https://computus.huma-num.fr/mss/SB_225_cod
cla,976,https://computus.huma-num.fr/mss/SB_913_cod
cla,907,https://computus.huma-num.fr/mss/SB_110_cod
bkat,20,https://computus.huma-num.fr/mss/ALBI_BM_38BIS_61_COD
bkat,437,https://computus.huma-num.fr/mss/BERLIN_SBPK_PHILLIPPS_1831_COD
bkat,506,https://computus.huma-num.fr/mss/BERN_BB_AA_90_16_COD
cla,**604c,https://computus.huma-num.fr/mss/BERN_BB_611_COD
bkat,731,https://computus.huma-num.fr/mss/KBR_9565_66_COD
bkat,732,https://computus.huma-num.fr/mss/KBR_9581_95_COD
bkat,728,https://computus.huma-num.fr/mss/KBR_9311_19_COD
bkat,718,https://computus.huma-num.fr/mss/KBR_5413_22__CU1
bkat,724,https://computus.huma-num.fr/mss/KBR_8654_72_COD
bkat,1916,https://computus.huma-num.fr/mss/DB_103_COD
bkat,1719,https://computus.huma-num.fr/mss/BLB_AUG_PERG_229_COD
bkat,1726x1,https://computus.huma-num.fr/mss/BLB_AUG_PERG_239_COD
bkat,2222,https://computus.huma-num.fr/mss/Leiden_UB_VLQ_69_COD
bkat,2200,https://computus.huma-num.fr/mss/Leiden_UB_VLF_74_COD
bkat,383,https://computus.huma-num.fr/mss/Leiden_UB_VMI_11_COD
bkat,2203,https://computus.huma-num.fr/mss/Leiden_UB_VLF_82_COD
bkat,2188,https://computus.huma-num.fr/mss/Leiden_UB_VLF_26_COD
bkat,2226,https://computus.huma-num.fr/mss/Leiden_UB_VLQ_75_COD
cla,183,https://computus.huma-num.fr/mss/BLCOTCAL_A_XV_CU1
bkat,2417a,https://computus.huma-num.fr/mss/BLCOTCAL_A_XV_CU1
bkat,2417a,https://computus.huma-num.fr/mss/BLCOTCAL_A_XV_CU2
bkat,2663,https://computus.huma-num.fr/mss/MILAN_SAAC_13_COD
bkat,2621,https://computus.huma-num.fr/mss/MILAN_BA_H_150_COD
bkat,2839,https://computus.huma-num.fr/mss/MONTPELLIER_BISM_H_157_COD
bkat,3248,https://computus.huma-num.fr/mss/BSB_CLM_14725_COD
bkat,4232,https://computus.huma-num.fr/mss/BNF_LAT_2796_COD
bkat,4342,https://computus.huma-num.fr/mss/BNF_LAT_4860_COD
bkat,4367,https://computus.huma-num.fr/mss/BNF_LAT_5543_COD
bkat,3998,https://computus.huma-num.fr/mss/BNF_LAT_894_COD
bkat,5313,https://computus.huma-num.fr/mss/ROME_BC_641_COD
bkat,5361,https://computus.huma-num.fr/mss/ROME_BV_E_26_COD
bkat,5641,https://computus.huma-num.fr/mss/SB_184_cod
bkat,5666a,https://computus.huma-num.fr/mss/SB_225_cod
bkat,5689,https://computus.huma-num.fr/mss/SB_251_1
bkat,5691,https://computus.huma-num.fr/mss/SB_251_2
bkat,5842,https://computus.huma-num.fr/mss/SB_732_COD
bkat,5688,https://computus.huma-num.fr/mss/SB_250_cod
bkat,5834,https://computus.huma-num.fr/mss/SB_682_cod
bkat,5684,https://computus.huma-num.fr/mss/SB_248_cod
bkat,5685,https://computus.huma-num.fr/mss/SB_248_cod
bkat,5569,https://computus.huma-num.fr/mss/SB_110_cod
bkat,5862,https://computus.huma-num.fr/mss/SB_878_cod
bkat,6577,https://computus.huma-num.fr/mss/VATICAN_BAV_PAL_LAT_1447_CU1
bkat,6625,https://computus.huma-num.fr/mss/BAV_REG_LAT_141_CU1
bkat,7427,https://computus.huma-num.fr/mss/HABCODGUELF_91_WEISS_COD
bkat,596x1,https://computus.huma-num.fr/mss/BERN_BB_441_COD
